year,CO2 (ppmv),Temperature,Mean CH4,unc
-708856,,-4.0,,
-708506,227.03282273035802,,,
-708228,,-4.06,,
-708191,,,556.0,
-707959,230.50735989141307,,,
-707809,,,568.0,
-707681,,,611.0,
-707641,,-3.88,,
-707503,231.43297127712552,,,
-707061,,-4.02,,
-707009,234.83616059567032,,,
-706904,,,521.0,
-706486,,-3.5,,
-706463,233.11228487432953,,,
-706420,,,512.0,
-706249,233.5834734270881,,,
-705920,,-3.56,,
-705693,233.50528810247422,,,
-705649,,,505.0,
-705362,,-3.67,,
-705360,238.84806965208156,,,
-705203,,,519.0,
-704830,,-3.7,,
-704760,236.04534030139132,,,
-704542,236.05369135840695,,,
-704452,,,610.0,
-704320,,-3.75,,
-704103,237.66123151682797,,,
-704027,,,610.0,
-703820,,-3.46,,
-703776,237.18468030646915,,,
-703387,,,585.0,
-703337,,-3.21,,
-703293,235.09172492612444,,,
-703103,234.04269676194465,,,
-702911,,,602.0,
-702875,,-3.21,,
-702631,233.54448715907165,,,
-702434,,-3.05,,
-702300,232.82958847745473,,,
-702258,,,588.0,
-702006,,-2.78,,
-701926,,,593.0,
-701846,232.28052064575172,,,
-701579,,-2.45,,
-701518,233.35390620979757,,,
-701377,,,582.0,
-701164,,-2.36,,
-701059,230.58782898361125,,,
-700968,,,605.0,
-700784,232.1824465330735,,,
-700769,,-2.49,,
-700513,,,594.0,
-700389,,-2.4,,
-700250,232.162121529527,,,
-700102,,,584.0,
-700043,230.88479116742866,,,
-700002,,-2.02,,
-699614,,-1.77,,
-699581,,,571.0,
-699574,232.4560078431405,,,
-699318,235.4215271002262,,,
-699253,,,595.0,
-699227,,-2.16,,
-698864,236.60700141533357,,,
-698834,,-2.31,,
-698715,,,578.0,
-698535,236.7173884297771,,,
-698454,,-2.45,,
-698396,,,581.0,
-698153,237.20611593740935,,,
-698077,,-2.75,,
-697922,,,566.0,
-697914,239.72641961823388,,,
-697715,,-2.49,,
-697607,,,594.0,
-697489,239.00952129629684,,,
-697367,,-2.55,,
-697265,238.8636108455049,,,
-697182,,,604.0,
-697024,,-2.26,,
-696803,241.8320311598419,,,
-696684,,-1.92,,
-696555,240.89904625193032,,,
-696349,,-1.84,,
-696324,,,588.0,
-696097,,,605.0,
-696089,241.02991515817237,,,
-696020,,-1.88,,
-695796,239.884743914407,,,
-695687,,-1.94,,
-695658,,,604.0,
-695392,238.41997928360914,,,
-695360,,-1.69,,
-695140,239.4354918894625,,,
-695042,,-1.86,,
-694968,,,624.0,
-694723,,-2.07,,
-694694,238.13269799082363,,,
-694693,,,645.0,
-694484,238.0518499460627,,,
-694401,,-1.85,,
-694279,,,643.0,
-694080,,-1.77,,
-694031,238.73723027829791,,,
-694030,,,647.0,
-693782,236.79873479326412,,,
-693763,,-1.92,,
-693621,,,632.0,
-693442,,-1.83,,
-693349,,,652.0,
-693309,239.79653384828728,,,
-693122,,-1.94,,
-692999,239.31113174299168,,,
-692955,,,635.0,
-692811,,-2.0,,
-692699,,,639.0,
-692586,240.45669225384142,,,
-692489,,-2.08,,
-692330,239.34063326328518,,,
-692313,,,629.0,
-692179,,-1.82,,
-692055,,,615.0,
-691880,,-1.86,,
-691871,237.75600797769894,,,
-691624,243.6995486644999,,,
-691564,,-1.55,,
-691416,,,590.0,
-691238,,-1.6,,
-691127,238.47330442832686,,,
-691006,,,602.0,
-690921,,-2.04,,
-690882,239.2983940505077,,,
-690750,,,596.0,
-690589,,-2.39,,
-690368,243.5623167259663,,,
-690353,,,557.0,
-690260,,-2.5,,
-690085,,,570.0,
-690017,239.37873479610943,,,
-689938,,-2.7,,
-689672,,,568.0,
-689612,,-2.75,,
-689517,238.41599878810229,,,
-689416,,,584.0,
-689271,239.2879301088554,,,
-689269,,-2.51,,
-688930,,-2.59,,
