,Unnamed: 0,year,CO2 (ppmv)
138,74,1942,312.8437329659678
139,75,1941,312.393938618938
140,76,1940,311.80226771747726
141,77,1940,307.7386635857962
142,78,1939,309.80091502114107
143,79,1939,310.9510867188181
144,80,1939,311.21179432912515
145,81,1938,310.4566675193962
146,82,1938,308.47982780846024
147,83,1938,311.94102882822733
148,84,1937,311.52050972739016
149,85,1937,312.3293254879136
150,86,1936,307.4076931745866
151,87,1935,309.3446868650601
152,88,1935,307.25859856593024
153,89,1935,306.3197983876916
154,90,1933,309.6306260790445
155,91,1933,307.0755443187391
156,92,1932,305.94402817135216
157,93,1932,308.27919921307927
158,94,1932,308.25556223436706
159,95,1930,305.7409186942765
160,96,1929,305.3808267142061
161,97,1928,305.78294147245686
162,98,1928,305.7053721667773
163,99,1928,305.66786848134046
164,100,1927,308.01874186181465
165,101,1925,304.96915678718324
166,102,1924,304.7159146968185
167,103,1922,306.1986242999216
168,104,1922,303.1815383191544
169,105,1919,301.8758603769565
170,106,1918,304.61320734820134
171,107,1917,303.85222132002366
172,108,1915,301.9151507114715
173,109,1914,300.7000886560916
174,110,1912,301.29772622272134
175,111,1911,299.25727749401767
176,112,1911,297.7268153632511
177,113,1910,298.10624698316605
178,114,1909,297.86910679162327
179,115,1908,301.5041354046444
180,116,1905,299.62686294971274
181,117,1905,297.32821856127947
182,118,1905,299.0235966178361
183,119,1903,295.9913578166476
184,120,1901,295.6106368299745
185,121,1900,294.2207216000332
186,122,1898,297.0473645165553
187,123,1898,295.2814574829282
188,124,1893,293.80883068272027
189,125,1893,293.16654166689625
190,126,1893,295.3164626735822
191,127,1892,294.8594308441452
192,128,1892,295.17192926023625
193,129,1889,290.9175394046256
194,130,1889,292.3423879392772
195,131,1887,294.34178746728605
196,132,1885,288.1157636999787
197,133,1884,289.2265988139854
198,134,1883,289.7624132149648
199,135,1882,292.46393479402104
200,136,1879,287.7707291897673
201,137,1876,289.3281310647417
202,138,1873,291.5581974658393
203,139,1872,286.6550967370638
204,140,1870,286.32578146070443
205,141,1869,287.9864944292303
206,142,1868,289.53614491302415
207,143,1867,287.9922513016967
208,144,1866,285.05229227816864
209,145,1864,286.654158160582
210,146,1862,285.3533187571561
211,147,1861,287.17456217295097
212,148,1858,286.6330756116753
213,149,1856,283.16210074754474
214,150,1854,285.56557722684016
215,151,1853,288.05443747992655
216,152,1851,285.4658308627274
217,153,1850,288.7903954001126
218,154,1850,284.00163402345765
219,155,1847,286.839237474432
220,156,1845,283.6198856894272
221,157,1844,283.1828720355646
222,158,1844,283.5311237194569
223,159,1843,281.58148260537183
224,160,1840,283.6545457229947
225,161,1836,284.151983964357
226,162,1833,283.82039231033946
227,163,1832,285.0861666968484
228,164,1826,285.90893992625405
229,165,1824,281.3603652847592
230,166,1813,284.43128758236145
231,167,1799,282.7995518984052
232,168,1796,280.4044366600032
233,169,1795,282.3047106620081
234,170,1794,281.6171179507893
235,171,1780,273.07371696468044
236,172,1779,280.2362981843688
237,173,1773,277.8559524780317
238,174,1763,276.3961020284933
239,175,1762,277.15568662096365
240,176,1752,278.00200109884094
241,177,1751,276.4573287163011
242,178,1749,277.6000738939942
243,179,1741,276.8090000432731
244,180,1733,278.3109424912346
245,181,1723,277.01330979867544
246,182,1722,278.27011023020174
247,183,1694,277.35805088594464
248,184,1689,276.3246167739362
249,185,1681,276.6596678045921
250,186,1649,278.0152295252318
251,187,1639,276.6872122505445
252,188,1628,273.7807623120456
